fundHouse,schemeCode,fundName
HDFC Mutual Fund,100899,HDFC Children Gift Fund-Savings
HDFC Mutual Fund,119066,HDFC Childrens Gift Fund Investment Plan-Direct Plan
HDFC Mutual Fund,119067,HDFC Childrens Gift Fund Savings Plan-Direct Plan
HDFC Mutual Fund,101978,HDFC Prudence Fund - Dividend Option
HDFC Mutual Fund,101977,HDFC Prudence Fund - Growth Option
HDFC Mutual Fund,118990,HDFC Prudence Fund -Direct Plan - Dividend Option
HDFC Mutual Fund,118991,HDFC Prudence Fund -Direct Plan - Growth Option
HDFC Mutual Fund,136464,HDFC Retirement Savings Fund - Hybrid - Equity Plan - Direct Plan
HDFC Mutual Fund,136463,HDFC Retirement Savings Fund - Hybrid - Equity Plan - Regular Plan
ICICI Prudential Mutual Fund,120251,ICICI Prudential Balanced Fund - Direct Plan -  Growth
ICICI Prudential Mutual Fund,131453,ICICI Prudential Balanced Fund - Direct Plan - Half Yearly Dividend
ICICI Prudential Mutual Fund,120252,ICICI Prudential Balanced Fund - Direct Plan - Monthly Dividend
ICICI Prudential Mutual Fund,136114,ICICI Prudential Balanced Fund - Direct Plan -Annual Dividend
ICICI Prudential Mutual Fund,100356,ICICI Prudential Balanced Fund - Growth
ICICI Prudential Mutual Fund,131452,ICICI Prudential Balanced Fund - Half Yearly Dividend
ICICI Prudential Mutual Fund,100355,ICICI Prudential Balanced Fund - Monthly Dividend
ICICI Prudential Mutual Fund,136113,ICICI Prudential Balanced Fund -Annual Dividend
IDBI Mutual Fund,139972,IDBI Prudence Fund Dividend Direct
IDBI Mutual Fund,139970,IDBI Prudence Fund Dividend Regular
IDBI Mutual Fund,139971,IDBI Prudence Fund Growth Direct
IDBI Mutual Fund,139969,IDBI Prudence Fund Growth Regular
IDFC Mutual Fund,140383,IDFC Balanced Fund-Direct Plan-Dividend
IDFC Mutual Fund,140382,IDFC Balanced Fund-Direct Plan-Growth
IDFC Mutual Fund,140384,IDFC Balanced Fund-Regular Plan-Dividend
IDFC Mutual Fund,140381,IDFC Balanced Fund-Regular Plan-Growth
JM Financial Mutual Fund,130904,JM Balanced Fund (Direct) - Annual Bonus Option
JM Financial Mutual Fund,131477,JM Balanced Fund (Direct) - Annual Dividend Option
JM Financial Mutual Fund,133401,JM Balanced Fund (Direct) - Bonus Option - Principal Units
JM Financial Mutual Fund,120483,JM Balanced Fund (Direct) - Dividend Option
JM Financial Mutual Fund,120484,JM Balanced Fund (Direct) - Growth Option
JM Financial Mutual Fund,133409,JM Balanced Fund (Direct) - Half Yearly Bonus Option - Principal Units
JM Financial Mutual Fund,133402,JM Balanced Fund (Direct) - Half Yearly Dividend Option
JM Financial Mutual Fund,133412,JM Balanced Fund (Direct) - Monthly Dividend Option
JM Financial Mutual Fund,133411,JM Balanced Fund (Direct) - Quarterly Bonus Option - Principal Units
JM Financial Mutual Fund,133406,JM Balanced Fund (Direct) - Quarterly Dividend Option
