fundHouse,schemeCode,fundName
Reliance Mutual Fund,114617,Reliance Gold Savings Fund-Dividend Plan
Reliance Mutual Fund,114616,Reliance Gold Savings Fund-Growth plan- Growth Option
SBI Mutual Fund,119789,SBI GOLD FUND - DIRECT PLAN - DIVIDEND
SBI Mutual Fund,115677,SBI GOLD FUND - REGULAR PLAN - DIVIDEND
SBI Mutual Fund,115676,SBI GOLD FUND REGULAR PLAN - GROWTH
SBI Mutual Fund,119788,SBI GOLD FUND- DIRECT PLAN - GROWTH
Birla Sun Life Mutual Fund,132141,Birla Sun Life Global Commodities Fund - Direct Plan - Dividend Option
Birla Sun Life Mutual Fund,132140,Birla Sun Life Global Commodities Fund - Direct plan - Growth Option
Birla Sun Life Mutual Fund,132139,Birla Sun Life Global Commodities Fund - Regular Plan - Dividend Option
Birla Sun Life Mutual Fund,132138,Birla SUn Life Global Commodities Fund - Regular Plan - Growth Option
Birla Sun Life Mutual Fund,132010,Birla Sun Life Global Real Estate Fund - Retail Plan - Direct Plan - Dividend Option
Birla Sun Life Mutual Fund,132009,Birla Sun Life Global Real Estate Fund - Retail Plan - Direct Plan - Growth Option
Birla Sun Life Mutual Fund,132003,Birla Sun Life Global Real Estate Fund - Retail Plan - Regular Plan - Dividend Option
Birla Sun Life Mutual Fund,132005,Birla Sun Life Global Real Estate Fund - Retail Plan - Regular Plan - Growth Option
Birla Sun Life Mutual Fund,132121,Birla Sun Life Latin America Equity Fund - Direct Plan - Dividend Option
Birla Sun Life Mutual Fund,132120,Birla Sun Life Latin America Equity Fund - Direct Plan - Growth Option
Birla Sun Life Mutual Fund,132117,Birla Sun Life Latin America Equity Fund - Regular Plan - Dividend Option
Birla Sun Life Mutual Fund,132118,Birla Sun Life Latin America Equity Fund - Regular Plan - Growth Option
DHFL Pramerica Mutual Fund,138524,DHFL Pramerica Global Agribusiness Fund - Dividend
DHFL Pramerica Mutual Fund,138523,DHFL Pramerica Global Agribusiness Fund - Growth
DHFL Pramerica Mutual Fund,138525,DHFL Pramerica Global Agribusiness Offshore Fund - Bonus
DHFL Pramerica Mutual Fund,138527,DHFL Pramerica Global Agribusiness Offshore Fund - Direct Plan - Dividend
DHFL Pramerica Mutual Fund,138528,DHFL Pramerica Global Agribusiness Offshore Fund - Direct Plan - Growth
DHFL Pramerica Mutual Fund,138457,DHFL Pramerica Top Euroland Offshore Fund - Direct Plan - Dividend
DHFL Pramerica Mutual Fund,138456,DHFL Pramerica Top Euroland Offshore Fund - Direct Plan - Growth
DHFL Pramerica Mutual Fund,138454,DHFL Pramerica Top Euroland Offshore Fund - Dividend
DHFL Pramerica Mutual Fund,138453,DHFL Pramerica Top Euroland Offshore Fund - Growth
DSP BlackRock Mutual Fund,130491,DSP BlackRock Global Allocation Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,130493,DSP BlackRock Global Allocation Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,130490,DSP BlackRock Global Allocation Fund - Regular Plan - Dividend
DSP BlackRock Mutual Fund,130492,DSP BlackRock Global Allocation Fund - Regular Plan - Growth
DSP BlackRock Mutual Fund,119253,DSP BlackRock US Flexible Equity Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,119252,DSP BlackRock US Flexible Equity Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,117692,DSP BlackRock US Flexible Equity Fund - Regular Plan - Dividend  Option
DSP BlackRock Mutual Fund,117691,DSP BlackRock US Flexible Equity Fund - Regular Plan - Growth Option
DSP BlackRock Mutual Fund,119272,DSP BlackRock World Agriculture Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,119271,DSP BlackRock World Agriculture Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,115881,DSP BlackRock World Agriculture Fund - Regular Plan - Dividend
DSP BlackRock Mutual Fund,115882,DSP BlackRock World Agriculture Fund - Regular Plan - Growth
DSP BlackRock Mutual Fund,119276,DSP BlackRock World Energy Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,119275,DSP BlackRock World Energy Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,112127,DSP BlackRock World Energy Fund - Regular Plan - Dividend
DSP BlackRock Mutual Fund,112126,DSP BlackRock World Energy Fund - Regular Plan - Growth
DSP BlackRock Mutual Fund,119278,DSP BlackRock World Gold Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,119277,DSP BlackRock World Gold Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,106596,DSP BlackRock World Gold Fund - Regular Plan - Dividend
DSP BlackRock Mutual Fund,106597,DSP BlackRock World Gold Fund - Regular Plan - Growth
DSP BlackRock Mutual Fund,119280,DSP BlackRock World Mining Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,119279,DSP BlackRock World Mining Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,112347,DSP BlackRock World Mining Fund - Regular Plan - Dividend
DSP BlackRock Mutual Fund,112293,DSP BlackRock World Mining Fund - Regular Plan - Growth
Edelweiss Mutual Fund,140256,Edelweiss ASEAN Equity Off-shore Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,140255,Edelweiss ASEAN Equity Off-shore Fund - Regular Plan - Growth Option
Edelweiss Mutual Fund,140327,Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,140328,Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Regular Plan - Growth Option
Edelweiss Mutual Fund,140296,Edelweiss Europe Dynamic Equity Offshore Fund - Growth Option - Direct Plan
Edelweiss Mutual Fund,140295,Edelweiss Europe Dynamic Equity Offshore Fund - Growth Option - Regular Plan
Edelweiss Mutual Fund,140243,Edelweiss Greater China Equity Off-shore Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,140242,Edelweiss Greater China Equity Off-shore Fund - Regular Plan - Growth Option
Edelweiss Mutual Fund,140274,Edelweiss US Value Equity Offshore Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,140273,Edelweiss US Value Equity Offshore Fund - Regular Plan - Growth Option
Franklin Templeton Mutual Fund,129441,Franklin India Feeder - Franklin European Growth Fund - Direct - Dividend
Franklin Templeton Mutual Fund,129440,Franklin India Feeder - Franklin European Growth Fund - Direct - Growth
Franklin Templeton Mutual Fund,129439,Franklin India Feeder - Franklin European Growth Fund - Dividend
Franklin Templeton Mutual Fund,129438,Franklin India Feeder - Franklin European Growth Fund - Growth
Franklin Templeton Mutual Fund,116632,Franklin India Feeder - Franklin U.S. Opportunities Fund - Dividend
Franklin Templeton Mutual Fund,116633,Franklin India Feeder - Franklin U.S. Opportunities Fund - Growth
Franklin Templeton Mutual Fund,118550,Franklin India Feeder - Franklin US Opportunities Fund - Direct - Dividend
Franklin Templeton Mutual Fund,118551,Franklin India Feeder - Franklin US Opportunities Fund - Direct - Growth
HSBC Mutual Fund,127070,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Dividend
HSBC Mutual Fund,127072,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Dividend Direct
HSBC Mutual Fund,127073,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Growth
HSBC Mutual Fund,127071,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Growth Direct
HSBC Mutual Fund,120036,HSBC Brazil Fund - Dividend Direct
HSBC Mutual Fund,120035,HSBC Brazil Fund - Growth Direct
HSBC Mutual Fund,115117,HSBC Brazil Fund-Dividend
HSBC Mutual Fund,115116,HSBC Brazil Fund-Growth
HSBC Mutual Fund,120044,HSBC - Emerging Market Fund - Dividend Direct
HSBC Mutual Fund,120043,HSBC - Emerging Market Fund - Growth Direct
HSBC Mutual Fund,107989,HSBC Emerging Markets Fund - Dividend
HSBC Mutual Fund,107988,HSBC Emerging Markets Fund - Growth
HSBC Mutual Fund,133713,HSBC Global Consumer Opportunities Fund - Growth
HSBC Mutual Fund,133714,HSBC Global Consumer Opportunities Fund - Growth Direct
ICICI Prudential Mutual Fund,123652,ICICI Prudential Global Stable Equity Fund - Direct - Dividend
ICICI Prudential Mutual Fund,123654,ICICI Prudential Global Stable Equity Fund - Direct - Growth
ICICI Prudential Mutual Fund,123653,ICICI Prudential Global Stable Equity Fund - Dividend
ICICI Prudential Mutual Fund,123651,ICICI Prudential Global Stable Equity Fund - Growth
Invesco Mutual Fund,129190,Invesco India Global Equity Income Fund - Direct Plan - Dividend
Invesco Mutual Fund,129188,Invesco India Global Equity Income Fund - Direct Plan - Growth
Invesco Mutual Fund,129189,Invesco India Global Equity Income Fund - Regular Plan - Dividend
Invesco Mutual Fund,129187,Invesco India Global Equity Income Fund - Regular Plan - Growth
Invesco Mutual Fund,126352,Invesco India Pan European Equity Fund - Direct Plan - Dividend Option
Invesco Mutual Fund,126353,Invesco India Pan European Equity Fund - Direct Plan - Growth Option
Invesco Mutual Fund,126350,Invesco India Pan European Equity Fund - Regular Plan - Dividend Option
Invesco Mutual Fund,126351,Invesco India Pan European Equity Fund - Regular Plan - Growth Option
Kotak Mahindra Mutual Fund,133832,Kotak US Equity Fund - Direct Plan - Dividend option
Kotak Mahindra Mutual Fund,133831,Kotak US Equity Fund - Direct Plan - Growth option
Kotak Mahindra Mutual Fund,133830,Kotak US Equity Fund - Standard Plan - Dividend option
Kotak Mahindra Mutual Fund,133833,Kotak US Equity Fund - Standard Plan - Growth option
Kotak Mahindra Mutual Fund,133814,Kotak World Gold Fund - Standard Plan - Dividend Option
Kotak Mahindra Mutual Fund,133815,Kotak World Gold Fund - Standard Plan - Growth Option
Kotak Mahindra Mutual Fund,133817,Kotak World Gold Fund- Direct Plan- Dividend Option
Kotak Mahindra Mutual Fund,133816,Kotak World Gold Fund- Direct Plan- Growth Option
Mirae Asset Mutual Fund,118832,Mirae Asset China Advantage Fund - Direct Plan - Dividend
Mirae Asset Mutual Fund,118831,Mirae Asset China Advantage Fund - Direct Plan - Growth
Mirae Asset Mutual Fund,112147,Mirae Asset China Advantage Fund - Regular Plan Growth Option
Mirae Asset Mutual Fund,112148,Mirae Asset China Advatage Fund-Regular Plan Dividend
PRINCIPAL Mutual Fund,119458,Principal Global Opportunities Fund- Direct Plan - Dividend Option
PRINCIPAL Mutual Fund,102336,Principal Global Opportunities Fund- Dividend Option
PRINCIPAL Mutual Fund,119457,Principal Global Opportunities Fund-Direct Plan - Growth Option
PRINCIPAL Mutual Fund,102337,Principal Global Opportunities Fund-Growth Option
Sundaram Mutual Fund,119601,Sundaram Global Advantage - Direct Plan - Dividend Option
Sundaram Mutual Fund,119602,Sundaram Global Advantage - Direct Plan - Growth Option
Sundaram Mutual Fund,106369,Sundaram Global Advantage Fund Dividend
Sundaram Mutual Fund,106370,Sundaram Global Advantage Fund Growth
Axis Mutual Fund,128957,Axis Constant Maturity 10 Year Fund - Direct Plan - Bonus Option
Axis Mutual Fund,120448,Axis Constant Maturity 10 Year Fund - Direct Plan - Half Yearly Dividend Option
Axis Mutual Fund,120449,Axis Constant Maturity 10 Year Fund - Direct Plan - Regular Dividend Option
Axis Mutual Fund,116471,Axis Constant Maturity 10 Year Fund - Growth Option
Axis Mutual Fund,116472,Axis Constant Maturity 10 Year Fund - Half Yearly Dividend Option
Axis Mutual Fund,116470,Axis Constant Maturity 10 Year Fund - Regular Dividend Option
Axis Mutual Fund,120447,Axis Constatnt Maturity 10 Year Fund - Direct Plan - Growth Option
Baroda Pioneer Mutual Fund,101188,BARODA PIONEER GILT FUND - Plan A - Dividend Option
Baroda Pioneer Mutual Fund,101187,BARODA PIONEER GILT FUND - Plan A - Growth Option
Baroda Pioneer Mutual Fund,119340,BARODA PIONEER GILT FUND - Plan B (Direct) - Dividend Option
Baroda Pioneer Mutual Fund,119341,BARODA PIONEER GILT FUND - Plan B (Direct) - Growth Option
Birla Sun Life Mutual Fund,119614,Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Direct Plan
Birla Sun Life Mutual Fund,100061,Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan
Birla Sun Life Mutual Fund,119615,Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Direct Plan
Birla Sun Life Mutual Fund,100060,Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan
Birla Sun Life Mutual Fund,119611,Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Direct Plan
Birla Sun Life Mutual Fund,100056,Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan
Birla Sun Life Mutual Fund,123860,Birla Sun Life Gilt Plus - Liquid Plan - Daily Dividend - Direct Plan
Birla Sun Life Mutual Fund,123863,Birla Sun Life Gilt Plus - Liquid Plan - Daily Dividend - Regular Plan
Birla Sun Life Mutual Fund,119612,Birla Sun Life Gilt Plus - Liquid Plan - Growth - Direct Plan
Birla Sun Life Mutual Fund,100055,Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan
Birla Sun Life Mutual Fund,119610,Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Direct Plan
Birla Sun Life Mutual Fund,100054,Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan
Birla Sun Life Mutual Fund,123862,Birla Sun Life Gilt Plus - Liquid Plan - Weekly Dividend - Direct Plan
Birla Sun Life Mutual Fund,123861,Birla Sun Life Gilt Plus - Liquid Plan - Weekly Dividend - Regular Plan
Birla Sun Life Mutual Fund,119605,Birla Sun Life Gilt Plus - PF Plan - Growth - Direct Plan
Birla Sun Life Mutual Fund,100058,Birla Sun Life Gilt Plus - PF Plan - Growth - Regular Plan
Birla Sun Life Mutual Fund,119606,Birla Sun Life Gilt Plus - PF Plan - Quarterly Dividend - Direct Plan
Birla Sun Life Mutual Fund,100057,Birla Sun Life Gilt Plus - PF Plan - Quarterly Dividend - Regular Plan
Birla Sun Life Mutual Fund,100059,Birla Sun Life Gilt Plus-PF Plan (Annual Dividend)
Birla Sun Life Mutual Fund,100062,Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend)
Birla Sun Life Mutual Fund,133440,Birla Sun Life Government Securities Fund - Long Term Plan - Dividend - Direct Plan
Birla Sun Life Mutual Fund,133439,Birla Sun Life Government Securities Fund - Long Term Plan - Dividend - Regular Plan
Birla Sun Life Mutual Fund,120533,Birla Sun Life Government Securities Fund - Long Term Plan - Growth - Direct Plan
Birla Sun Life Mutual Fund,103188,Birla Sun Life Government Securities Fund - Long Term Plan - Growth - Regular Plan
Birla Sun Life Mutual Fund,120532,Birla Sun Life Government Securities Fund - Long Term Plan - Half Yearly Dividend - Direct Plan
Birla Sun Life Mutual Fund,103187,Birla Sun Life Government Securities Fund - Long Term Plan - Half Yearly Dividend - Regular Plan
Birla Sun Life Mutual Fund,123864,Birla Sin Life Government Securities Fund - Short Term Plan - Weekly Dividend - Regular Plan
Birla Sun Life Mutual Fund,119530,Birla Sun Life Government Securities Fund - Short Term Plan - Daily Dividend - Direct Plan
Birla Sun Life Mutual Fund,119529,Birla Sun Life Government Securities Fund - Short Term Plan - Growth - Direct Plan
Birla Sun Life Mutual Fund,103190,Birla Sun Life Government Securities Fund - Short Term Plan - Growth - Regular Plan
Birla Sun Life Mutual Fund,110515,Birla Sun Life Government Seurities Fund - Short Term Plan - Daily Dividend - Regular Plan
Birla Sun Life Mutual Fund,110666,"Birla Sun Life Govt, Securities Short Term Fund-Institutional Daily Dividend Option"
Birla Sun Life Mutual Fund,110668,"Birla Sun Life Govt, Securities Short Term Fund-Institutional Plan A(Dividend)"
Birla Sun Life Mutual Fund,110665,"Birla Sun Life Govt, Securities Short Term Fund-Institutional Weekly Dividend Option"
Birla Sun Life Mutual Fund,103189,"Birla Sun Life Govt, Securities Short Term Fund-Retail Plan A(Dividend)"
Birla Sun Life Mutual Fund,110516,"Birla Sun Life Govt, Securities Short Term Fund-Retail Weekly Dividend Option"
BNP Paribas Mutual Fund,122393,BNP Paribas Government Securities Fund - Annual dividend option
BNP Paribas Mutual Fund,122291,BNP Paribas Government Securities Fund - Calendar quarterly dividend option
BNP Paribas Mutual Fund,122376,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option
BNP Paribas Mutual Fund,122374,BNP Paribas Government Securities Fund - Direct Plan - Growth Option
BNP Paribas Mutual Fund,122400,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option
BNP Paribas Mutual Fund,122289,BNP Paribas Government Securities Fund - Growth Option
BNP Paribas Mutual Fund,122293,BNP Paribas Government Securities Fund - Half yearly dividend option
BNP Paribas Mutual Fund,122290,BNP Paribas Government Securities Fund -Monthly dividend option
Canara Robeco Mutual Fund,118296,Canara Robeco Gilt Advantage Fund - Direct Plan - Dividend Option
Canara Robeco Mutual Fund,118297,Canara Robeco Gilt Advantage Fund - Direct Plan - Growth Option
Canara Robeco Mutual Fund,114683,Canara Robeco Gilt Advantage Fund - Regular Plan - Dividend
Canara Robeco Mutual Fund,114682,Canara Robeco Gilt Advantage Fund - Regular Plan - Growth
Canara Robeco Mutual Fund,100596,Canara Robeco Gilt PGS - Regular Plan - Dividend
Canara Robeco Mutual Fund,100597,Canara Robeco Gilt PGS - Regular Plan - Growth
Canara Robeco Mutual Fund,118298,Canara Robeco Gilt PGS-Direct Plan - Dividend Option
Canara Robeco Mutual Fund,118299,Canara Robeco Gilt PGS-Direct Plan - Growth option
DHFL Pramerica Mutual Fund,138471,DHFL Pramerica Gilt Fund - Bonus
DHFL Pramerica Mutual Fund,138474,DHFL Pramerica Gilt Fund - Direct Plan - Dividend
DHFL Pramerica Mutual Fund,138472,DHFL Pramerica Gilt Fund - Direct Plan - Growth
DHFL Pramerica Mutual Fund,138476,DHFL Pramerica Gilt Fund - Direct Plan - Half Yearly Bonus
DHFL Pramerica Mutual Fund,138467,DHFL Pramerica Gilt Fund - Dividend
DHFL Pramerica Mutual Fund,138470,DHFL Pramerica Gilt Fund - Growth
DHFL Pramerica Mutual Fund,138475,DHFL Pramerica Gilt Fund - Half Yearly Bonus
DSP BlackRock Mutual Fund,131304,DSP BlackRock Constant Maturity 10Y G-Sec Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,131301,DSP BlackRock Constant Maturity 10Y G-Sec Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,131303,DSP BlackRock Constant Maturity 10Y G-Sec Fund - Direct Plan - Monthly Dividend
DSP BlackRock Mutual Fund,131302,DSP BlackRock Constant Maturity 10Y G-Sec Fund - Direct Plan - Quarterly Dividend
DSP BlackRock Mutual Fund,131298,DSP BlackRock Constant Maturity 10Y G-Sec Fund - Regular Plan - Dividend
DSP BlackRock Mutual Fund,131297,DSP BlackRock Constant Maturity 10Y G-Sec Fund - Regular Plan - Growth
DSP BlackRock Mutual Fund,131299,DSP BlackRock Constant Maturity 10Y G-Sec Fund - Regular Plan - Monthly Dividend
DSP BlackRock Mutual Fund,131300,DSP BlackRock Constant Maturity 10Y G-Sec Fund - Regular Plan - Quarterly Dividend
DSP BlackRock Mutual Fund,119101,DSP BlackRock Government Securities Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,119099,DSP BlackRock Government Securities Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,119100,DSP BlackRock Government Securities Fund - Direct Plan - Monthly Dividend
DSP BlackRock Mutual Fund,100085,DSP BlackRock Government Securities Fund - Regular Plan - Dividend
DSP BlackRock Mutual Fund,100084,DSP BlackRock Government Securities Fund - Regular Plan - Growth
DSP BlackRock Mutual Fund,100086,DSP BlackRock Government Securities Fund - Regular Plan - Monthly Dividend
Edelweiss Mutual Fund,140298,Edelweiss Government Securities Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,140310,Edelweiss Government Securities Fund - Regular Plan - Annual Dividend Option
Edelweiss Mutual Fund,140301,Edelweiss Government Securities Fund - Regular Plan - Dividend Option
Edelweiss Mutual Fund,140297,Edelweiss Government Securities Fund - Regular Plan - Growth Option
Edelweiss Mutual Fund,140307,Edelweiss Government Securities Fund - Regular Plan - Monthly Dividend Option
Edelweiss Mutual Fund,140303,Edelweiss Government Securities Fund - Regular Plan - Weekly Dividend Option
Escorts Mutual Fund,101071,Escorts Gilt Plan-DIVIDEND OPTION
Escorts Mutual Fund,120820,Escorts Gilt Plan-DIVIDEND OPTION-Direct Plan
Escorts Mutual Fund,101072,Escorts Gilt Plan-GROWTH OPTION
Escorts Mutual Fund,120821,Escorts Gilt Plan-GROWTH OPTION-Direct Plan
Franklin Templeton Mutual Fund,118502,Franklin India GOVERNMENT SECURITIES FUND - Composite Plan - Direct - Growth
Franklin Templeton Mutual Fund,118501,Franklin India GOVERNMENT SECURITIES FUND - Composite Plan - Direct - Quarterly Dividend
Franklin Templeton Mutual Fund,119295,Franklin India GOVERNMENT SECURITIES FUND - Long Term Plan - Direct - Bonus
Franklin Templeton Mutual Fund,118498,Franklin India GOVERNMENT SECURITIES FUND - Long Term Plan - Direct - Growth
Franklin Templeton Mutual Fund,118497,Franklin India GOVERNMENT SECURITIES FUND - Long Term Plan - Direct - Quarterly Dividend
Franklin Templeton Mutual Fund,118504,Franklin India GOVERNMENT SECURITIES FUND PF PLAN - Direct - Growth
Franklin Templeton Mutual Fund,100486,Franklin India Govt.Sec. Fund-Composite Plan - Dividend
Franklin Templeton Mutual Fund,100485,Franklin India Govt.Sec. Fund-Composite Plan - Growth
Franklin Templeton Mutual Fund,100495,Franklin India Govt.Sec. Fund-Long Term Plan - Bonus
Franklin Templeton Mutual Fund,100494,Franklin India Govt.Sec. Fund-Long Term Plan - Dividend
Franklin Templeton Mutual Fund,100493,Franklin India Govt.Sec. Fund-Long Term Plan - Growth
Franklin Templeton Mutual Fund,100491,Franklin India Govt.Sec. Fund-PF Plan - Dividend
Franklin Templeton Mutual Fund,100490,Franklin India Govt.Sec. Fund-PF Plan - Growth
HDFC Mutual Fund,119115,HDFC Gilt Fund Long Term Plan -Direct Plan - Dividend Option
HDFC Mutual Fund,119116,HDFC Gilt Fund Long Term Plan -Direct Plan - Growth Option
HDFC Mutual Fund,101084,HDFC Gilt Fund-Long Term-Dividend
HDFC Mutual Fund,101083,HDFC Gilt Fund-Long Term-Growth
HDFC Mutual Fund,119113,HDFC Gilt Fund Short Term Plan -Direct Plan - Dividend Option
HDFC Mutual Fund,119114,HDFC Gilt Fund Short Term Plan -Direct Plan - Growth Option
HDFC Mutual Fund,101081,HDFC Gilt Fund-Short Term-Dividend
HDFC Mutual Fund,101082,HDFC Gilt Fund-Short Term-Growth
ICICI Prudential Mutual Fund,131059,ICICI Prudential Constant Maturity Gilt Fund - Annual Dividend
ICICI Prudential Mutual Fund,131056,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Annual Dividend
ICICI Prudential Mutual Fund,131061,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth
ICICI Prudential Mutual Fund,131055,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Half Yearly Dividend
ICICI Prudential Mutual Fund,131053,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Monthly Dividend
ICICI Prudential Mutual Fund,131054,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Quarterly Dividend
ICICI Prudential Mutual Fund,131051,ICICI Prudential Constant Maturity Gilt Fund - Growth
ICICI Prudential Mutual Fund,131058,ICICI Prudential Constant Maturity Gilt Fund - Half Yearly Dividend
ICICI Prudential Mutual Fund,131062,ICICI Prudential Constant Maturity Gilt Fund - Monthly Dividend
ICICI Prudential Mutual Fund,131057,ICICI Prudential Constant Maturity Gilt Fund - quarterly Dividend
ICICI Prudential Mutual Fund,120589,ICICI Prudential Long Term Gilt Fund - Direct Plan - Dividend
ICICI Prudential Mutual Fund,120590,ICICI Prudential Long Term Gilt Fund - Direct Plan - Growth
ICICI Prudential Mutual Fund,100368,ICICI Prudential Long Term Gilt Fund - Dividend
ICICI Prudential Mutual Fund,100369,ICICI Prudential Long Term Gilt Fund - Growth
ICICI Prudential Mutual Fund,130903,ICICI Prudential Long Term Glit Fund - Bonus
ICICI Prudential Mutual Fund,130955,ICICI Prudential Long Term Glit Fund - Direct Plan Bonus
ICICI Prudential Mutual Fund,120607,ICICI Prudential Short Term Gilt Fund - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,120608,ICICI Prudential Short Term Gilt Fund - Direct Plan -  Growth
ICICI Prudential Mutual Fund,120609,ICICI Prudential Short Term Gilt Fund - Direct Plan -  Half Yearly Dividend
ICICI Prudential Mutual Fund,100370,ICICI Prudential Short Term Gilt Fund - Dividend
ICICI Prudential Mutual Fund,100371,ICICI Prudential Short Term Gilt Fund - Growth
ICICI Prudential Mutual Fund,100372,ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend
ICICI Prudential Mutual Fund,130902,ICICI Prudential Short Term Glit Fund - Bonus
ICICI Prudential Mutual Fund,130956,ICICI Prudential Short Term Glit Fund - Direct Plan Bonus
ICICI Prudential Mutual Fund,120606,ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan - Half Yearly Dividend
ICICI Prudential Mutual Fund,120605,ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan -Growth Option
ICICI Prudential Mutual Fund,102060,ICICI Prudential Gilt Fund Investment Plan PF Option - Growth
ICICI Prudential Mutual Fund,118019,ICICI Prudential Gilt Fund Investment Plan PF Option - Half Yearly Dividend
ICICI Prudential Mutual Fund,130901,ICICI Prudential Gilt Investment PF Option - Bonus
ICICI Prudential Mutual Fund,130954,ICICI Prudential Gilt Investment PF Option - Direct Plan Bonus
ICICI Prudential Mutual Fund,120612,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan - Half Yearly Dividend
ICICI Prudential Mutual Fund,120610,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan - Quarterly Dividend
ICICI Prudential Mutual Fund,120611,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan -Growth Option
ICICI Prudential Mutual Fund,102248,ICICI Prudential Gilt Fund Treasury Plan PF Option - Growth
ICICI Prudential Mutual Fund,118023,ICICI Prudential Gilt Fund Treasury Plan PF Option - Half Yearly Dividend
ICICI Prudential Mutual Fund,118022,ICICI Prudential Gilt Fund Treasury Plan PF Option - Quarterly Dividend
ICICI Prudential Mutual Fund,130905,ICICI Prudential Gilt Treasury PF Option - Bonus
IDBI Mutual Fund,118034,IDBI Gilt Fund Annual Dividend
IDBI Mutual Fund,118447,IDBI Gilt Fund Annual Dividend Direct
IDBI Mutual Fund,118030,IDBI Gilt Fund Growth
IDBI Mutual Fund,118341,IDBI Gilt Fund Growth Direct
IDBI Mutual Fund,118031,IDBI Gilt Fund Quarterly Dividend
IDBI Mutual Fund,118446,IDBI Gilt Fund Quarterly Dividend Direct
IDFC Mutual Fund,108557,IDFC Government Securities Fund - IP - Regular Plan - Quarterly Dividend
IDFC Mutual Fund,108559,IDFC Government Securities Fund - IP - Regular Plan - Annual Dividend
IDFC Mutual Fund,108558,IDFC Government Securities Fund - IP - Regular Plan - Half Yearly Dividend
IDFC Mutual Fund,108752,IDFC GSF - Investment Plan - Growth
IDFC Mutual Fund,108754,IDFC GSF - Investment Plan - Half Yearly Dividend
IDFC Mutual Fund,108643,IDFC GSF - Investment Plan - Quarterly Dividend
IDFC Mutual Fund,108753,IDFC GSF - Short Term-Regular Plan- Growth
IDFC Mutual Fund,118764,IDFC  Government Securities Fund - Provident Fund -Direct Plan-Annual Dividend
IDFC Mutual Fund,118766,IDFC  Government Securities Fund - Provident Fund -Direct Plan-Growth
IDFC Mutual Fund,118765,IDFC  Government Securities Fund - Provident Fund -Direct Plan-Quarterly Dividend
IDFC Mutual Fund,131392,IDFC GSF -PF -Direct Plan_Periodic Dividend
IDFC Mutual Fund,131393,IDFC GSF -PF -Regular Plan_Periodic Dividend
