Scheme_Code,Scheme_Name
122953,Axis Hybrid Fund - Series 5 (1346 Days) - Regular Plan - Dividend
122950,Axis Hybrid Fund - Series 5 (1346 Days) - Regular Plan - Growth
122952,Axis Hybrid Fund - Series 5 (1346 Days)- Direct Plan - Dividend
123062,Axis Hybrid Fund Series 6 (1324 Days) - Direct - Dividend
123065,Axis Hybrid Fund Series 6 (1324 Days) - Direct - Growth
123064,Axis Hybrid Fund Series 6 (1324 Days) - Regular - Dividend
123063,Axis Hybrid Fund Series 6 (1324 Days) - Regular - Growth
126357,Axis Hybrid Fund Series 8 (1279 days) - Direct Plan - Dividend
126356,Axis Hybrid Fund Series 8 (1279 days) - Direct Plan - Growth
126355,Axis Hybrid Fund Series 8 (1279 days) - Regular Plan - Dividend
126354,Axis Hybrid Fund Series 8 (1279 days) - Regular Plan - Growth
126958,Axis Hybrid Fund Series 9 (1282 days) -  Direct Plan - Dividend
126956,Axis Hybrid Fund Series 9 (1282 days) -  Direct Plan - Growth
126955,Axis Hybrid Fund Series 9 (1282 days) - Regular Plan - Dividend
126957,Axis Hybrid Fund Series 9 (1282 days) - Regular Plan - Growth
125112,Baroda Pioneer Balance Fund - Plan A - Bonus Option
101913,BARODA PIONEER BALANCE FUND - Plan A - Dividend Option
101912,BARODA PIONEER BALANCE FUND - Plan A - Growth Option
119325,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Dividend Option
119326,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Growth Option
100068,BARODA PIONEER ELSS 96 - Plan A - Dividend Payout Option
119339,BARODA PIONEER ELSS 96 - Plan B (Direct) - Dividend Payout Option
125111,Baroda Pioneer ELSS 96 - Plan B (Direct)- Bonus Option
125110,Baroda Pioneer ELSS 96 Fund - Plan A- Bonus Option
134044,Baroda Pioneer ELSS 96 Plan A -Growth Option
134045,Baroda Pioneer ELSS 96 Plan B(Direct) -Growth Option
101188,BARODA PIONEER GILT FUND - Plan A - Dividend Option
101187,BARODA PIONEER GILT FUND - Plan A - Growth Option
119340,BARODA PIONEER GILT FUND - Plan B (Direct) - Dividend Option
119341,BARODA PIONEER GILT FUND - Plan B (Direct) - Growth Option
125114,Baroda Pioneer Banking And Financial Services Fund - Plan A - Bonus Option
117547,Baroda Pioneer Banking and Financial Services Fund - Plan A - Dividend Payout Option
117549,Baroda Pioneer Banking and Financial Services Fund - Plan A - Growth Option
125115,Baroda Pioneer Banking And Financial Services Fund - Plan B (Direct) - Bonus Option
119334,Baroda Pioneer Banking and Financial Services Fund - Plan B (Direct) - Dividend Payout Option
119333,Baroda Pioneer Banking and Financial Services Fund - Plan B (Direct) - Growth Option
102021,BARODA PIONEER GROWTH FUND - Plan A - Dividend Option
102020,BARODA PIONEER GROWTH FUND - Plan A - Growth Option
119353,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Dividend Option
119354,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Growth Option
112944,Baroda Pioneer Large cap Fund - Plan A - Dividend Option
112943,Baroda Pioneer Large cap Fund - Plan A - Growth Option
119366,Baroda Pioneer Large cap Fund - Plan B (Direct) - Dividend Option
119367,Baroda Pioneer Large cap Fund - Plan B (Direct) - Growth Option
113328,Baroda Pioneer Mid-cap Fund- Plan A - Dividend Option
113327,Baroda Pioneer Mid-cap Fund- Plan A - Growth Option
119392,Baroda Pioneer Mid-cap Fund- Plan B (Direct) - Growth Option
119313,Baroda Pioneer Mid-cap Fund-Plan B (Direct)-Dividend Option
133525,Baroda Pioneer Credit Opportunities Fund -Plan A -Bonus Option
133486,Baroda Pioneer Credit Opportunities Fund -Plan A -Growth Option
133517,Baroda Pioneer Credit Opportunities Fund -Plan A -Monthly Dividend Payout Option
133518,Baroda Pioneer Credit Opportunities Fund -Plan A -Quarterly Dividend Payout Option
133678,Baroda Pioneer Credit Opportunities Fund -Plan B(Direct)-Bonus Option
133520,Baroda Pioneer Credit Opportunities Fund -Plan B-(Direct) Monthly Dividend Payout Option
133524,Baroda Pioneer Credit Opportunities Fund -Plan B-(Direct) Quarterly Dividend Payout Option
133488,Baroda Pioneer Credit Opportunities Fund -Plan B-Growth Option
117629,Baroda Pioneer Dynamic Bond Fund - Plan A - Dividend Payout Option
117631,Baroda Pioneer Dynamic Bond Fund - Plan A - Growth Option
119336,Baroda Pioneer Dynamic Bond Fund - Plan B (Direct) - Dividend Payout Option
119337,Baroda Pioneer Dynamic Bond Fund - Plan B (Direct) - Growth Option
101155,BARODA PIONEER INCOME FUND - Plan A - Dividend Option
101154,BARODA PIONEER INCOME FUND - Plan A - Growth Option
119361,BARODA PIONEER INCOME FUND - Plan B (Direct) - Dividend Option
119362,BARODA PIONEER INCOME FUND - Plan B (Direct) - Growth Option
102661,BARODA PIONEER MIP FUND - Plan A - Growth Option
102662,BARODA PIONEER MIP FUND - Plan A - Monthly Dividend Option
